Temperature,Humidity
10,75
37,79
24,59
40,12
20,35
31,56
25,86
2,28
28,52
20,36
19,37
22,18
43,44
37,66
47,29
5,74
9,46
8,46
14,65
5,78
15,45
45,78
25,9
49,67
18,57
1,93
48,57
30,65
35,94
13,75
49,56
13,7
36,65
25,16
12,34
20,51
44,12
8,26
5,12
36,87
50,97
46,19
23,28
37,24
19,19
13,67
10,68
35,10
4,74
20,56
31,49
40,33
9,82
30,100
12,73
36,40
8,40
24,73
4,100
23,95
36,48
42,81
22,68
18,5
7,58
21,13
41,81
12,58
18,38
34,23
23,88
36,72
8,5
35,3
30,85
49,79
39,54
19,62
46,72
6,9
29,3
37,12
29,75
27,54
26,81
27,95
3,44
33,15
13,93
49,78
16,22
1,49
50,33
12,57
48,56
21,52
34,87
49,17
9,64
12,66
39,52
32,71
14,53
25,54
8,57
2,100
1,14
10,40
22,60
5,97
35,33
25,28
